Title,Topics,Likes,Followers,Views,Stitle,Unnamed: 6
在健身房怎样自己练？,"健身, 健身技术, 健身指导, 健身与减脂, 健身塑形",44,3954,1854351,"减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
为什么一定要吃够基础代谢？,"健身, 减肥, 生物学, 医学, 健身与减脂",12,62,151923,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
减脂的关键到底在于哪一点？,"健身, 减肥, 减脂, 健身与减脂, 大学生形象",138,55594,10105523,一说主要应该看全天消耗的总热量，包括基础代谢，各种身体，头脑活动，锻炼等等;还有一说是最好看你所做的锻炼（无论各种类型）脂肪供能所占百分比，因为一天总消耗也可能是糖类成为主要供能，轮不到脂肪消耗。我现在云里雾里了，到底该看哪一点呢？,
健身后失眠怎么办？,"健康, 健身, 睡眠, 运动, 健身与减脂",6,219,254279,"周一 肩部
周二 hiit 长跑
周三 胸部
周四 动感单车 腹部
周五 背部
周六 手臂
周日 腿部

肩上杠铃推举rm8 x3
肩上哑铃推举rm8 x3
杠铃前平举rm8 x3
站姿哑铃侧平举rm8 x3
杠铃直立划船rm8 x3
俯立哑铃侧平举rm8 x3
上斜侧举rm8 x3

胸部

上斜杠铃卧推rm8 x3
上斜哑铃卧推rm8 x3
上斜哑铃飞鸟rm8 x3
下斜推举rm8 x3
下斜哑铃飞鸟rm8 x3
下斜哑铃推举rm8 x3
压绳滑轮飞鸟rm8 x9（上中下）
前倾曲臂支撑rm8 x3

背部

提杠铃耸肩rm8 x3
提哑铃耸肩rm8 x3
坐姿拉力器划船rm8 x3
宽握距下拉rm8 x3
杠铃划船rm8 x3
哑铃划船rm8 x3
硬拉rm8 x3
上斜伸腰rm8 x3

手臂

杠铃弯举rm8 x4（宽窄握距交替）
哑铃弯举rm8 x3
单臂哑铃弯举rm8 x3
吊绳滑轮弯举rm8 x3
牧师椅臂弯举rm8 x3
坐姿肱三头肌推举rm8 x3
窄握距杠铃卧推rm8 x3
哑铃肱三头肌后方伸展rm8 x3
腕弯举rm8 x4(正反)

腿

腿屈伸rm8x3
颈后杠铃深蹲rm8 x3
仰卧上斜腿屈伸rm8 x4（四种脚的姿势）
剪蹲rm8 x3
俯卧腿弯举rm8 x3
直腿硬拉rm8 x3
站姿提踵rm8 x3
练习器提踵rm8 x3

腹部
足固定下斜仰卧起坐rm8 x3
屈膝上举腿仰卧起坐rm8 x3
仰卧屈膝腿上摆rm8 x3
屈膝收腹rm8 x3
曲臂撑悬垂举腿rm8 x3
负杠转体rm8 x3
单手持哑铃体侧曲rm8 x3

HIIT
热身两分钟
张合跳30*3
下蹲踢腿30*3
两侧俯卧撑30*3
转体仰卧起坐30*3
登山跑30*3
慢跑120s
张合跳30*3
撑地跳30*3
两侧俯卧撑30*3
高抬腿30*3
下蹲踢腿30*3

我的健身计划有问题么？对于rm值我不是很懂 不知道该做rm8还是rm15",
健身练哪部分肌肉会让人变得挺拔？,"健身, 健身教练, 健身器材, 健身与减脂, 健身塑形",212,14059,2275441,"减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
160减到130，为何腹部脂肪仍然很厚？,"健身, 减肥, 减脂, 健身与减脂",16,1271,889370,"近日，青海省体育局、青海省直机关工委、青海省总工会联合印发《关于在全省范围内进一步推广广播体操和工间健身制度的通知》（以下简称“《通知》”），普及推广广播体操和工间健身，并要求全省各级党政机关、企事业单位在周一至周五每天安排15分钟进行健身活动。
《通知》要求全省各级党政机关、企事业单位因地制宜，结合办公地点在周一至周五安排15分钟时间，以第九套广播体操为主要推广内容，并可选择“八段锦”“24式简化太极拳”等优秀传统健身方法开展健身活动。
同时要求各地区、各单位指定专人负责，确保广播体操和工间健身制度工作落到实处。以每日的“小变化”来获取健康受益的“大效果”，以体育锻炼换来健康向上的精神面貌，让全体干部职工树立以参与体育健身、拥有强健体魄为荣的个人发展理念，培养锻炼兴趣，形成终身体育健身的良好习惯。",
减脂的关键到底在于哪一点？,"健身, 减肥, 减脂, 健身与减脂, 大学生形象",138,55594,10105525,"减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
女生如何自己健身？,"健身, 健身教练, 健身器材, 健身技术, 健身与减脂",44,11764,2042506,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
怎样减脂的同时保持基础代谢与肌肉量，如何减肥少掉／不掉肌肉？,"健身, 减肥, 增肌, 健身与减脂, 健身增肌",27,3636,799580,"学校旁边的健身房不太专业，里面的教练好多也都是体院学生兼职的，所以求广大知友给推荐一个健身计划吧。
先说下我的情况，身高175，体重72KG，腹部以及臀部和大腿有很厚的脂肪堆积，上半身到还好，胸部无肉无脂肪。现在就是想一方面能把腿和腹部的脂肪减掉，另一方面也希望能练出来肌肉~~~毕竟夏天了么，男孩子也想露肉呀~~我的体能方面属于偏差的那种，跑步速度75的话能跑15-20分钟就喘的不行了。然后就是说每次健身练多久，练到什么程度可以就可以结束了？我两天去一次健身房，下午五点左右去，每次去练一个多小时，先骑十五分钟单车，其他的器材就是漫无目的的练了，所以很希望有一份具体的健身计划。",
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397096,"是个女生。。。难道也肾虚！！当时请私教的时候没有出现过这个情况，自己练的时候基本上每次练完有氧后都会出现下背痛。。。本来以为跑步姿势不对，后来想想练完单车也一样疼。。这是几个意思。。求问。。
————————我是分割线——————
教练告诉我是肌肉拉伤，我看了看知乎各种答案，貌似只有@高科 的这张图可以准确描述位置。。。我不要脸的盗来了。。。（女汉子也算汉子）。。。。

加强核心肌群的锻炼，在下背疼的时候有哪些动作是绝对不能做的，那些可以做。。求大神们指点一下。。谢谢还在增肌减脂期。。。我是不想休太久",
什么是健身婊？,"健身, 健身技术, 健身与减脂, 健身塑形, 美容健身",43,2539,13340739,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
减脂的关键到底在于哪一点？,"健身, 减肥, 减脂, 健身与减脂, 大学生形象",138,55594,10105527,一说主要应该看全天消耗的总热量，包括基础代谢，各种身体，头脑活动，锻炼等等;还有一说是最好看你所做的锻炼（无论各种类型）脂肪供能所占百分比，因为一天总消耗也可能是糖类成为主要供能，轮不到脂肪消耗。我现在云里雾里了，到底该看哪一点呢？,
有哪些热量低的碳水可以代替主食?,"健身, 减肥, 营养学, 减脂",809,21632,11597067,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
你是因为什么开始的游泳？,"减肥, 游泳, 运动健身, 运动过春天",56,93,18816,我自己偏胖，身高158，体重118，是两个孩子的妈妈，两个女儿，深知妈妈对女儿审美的影响，希望可以练习提升气质的运动，很想知道美丽芭蕾是不是可以提升气质，有没有朋友练习过，自己对照视频练习可以吗，谢谢大家,
怎么确定健身的rm数量？,"健身, 健身教练, 运动减肥, 健身与减脂, 健身塑形",1,46,44636,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
有哪些适合健身新手的健身计划？,"健身, 健身教练, 健身标准, 运动减肥, 健身与减脂",38,301,807131,"是不是需要先来张健身照镇楼？

前不久练完肩拍的 充血了…
很久前一个朋友问我 你经常锻炼 要是停止了 身材岂不是瞬间变到解放前？
然而 我告诉她 我为嘛要停止？为嘛要中止一件自己最热爱的事情？
很多人问我 为什么我运动坚持不下去 为什么我不想去健身房 我想回家躺沙发上追美剧 我想吃好次的去 我要加班 我要陪另一半……
首先 我也爱看了好几年了美剧 我也吃好次的 我也加班
但我还是每周坚持4-5次泡健身房 每次训练2-3小时
然而我总结出 为什么有的人说不能坚持
那是你容忍你当下身材的不足 更是你并不热爱健身热爱运动 没有那么强的欲望想要一个好身材 健康的身体 你就是懒！
我并没有觉得自己很厉害很棒 我只是在健身这条路上走得真的很快乐
我一个朋友形容我的：除了上班 你生活里最多的就是铁坨坨…
接下来 晒点健身照 希望能感染懒得运动的朋友们

左是健身房认识的朋友

狂暴滤镜出腹肌


肌肉腿
这都是最近
这些都是最近的照",
怎样减脂的同时保持基础代谢与肌肉量，如何减肥少掉／不掉肌肉？,"健身, 减肥, 增肌, 健身与减脂, 健身增肌",27,3636,799582,"年龄24，身高168，体重100。除小学练过短跑田径，再未接受过专业训练。平时除生理期外一周两到三次的慢跑或hiit及部分无器械无氧运动（最近都在家中跟着keep练习），半年前接触到一些体态的知识，所以现在日常走路和站立比较注意，因自己判断腿型属于xo型腿，所以尽量脚内测及大腿内侧发力，有骨盆前倾所以睡时腿下会垫垫子，站立时尽量避免不良站姿等等。
不知道自己现在的调整方向对不对，还有没有什么问题，今后还能更注意哪些方面呢？",
青海要求各单位每日健身，如何看待这一要求？这是不是形式主义？,"职场, 国际",5,249,426603,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
你是因为什么开始的徒步登山等户外运动？,"徒步, 户外运动, 运动健身, 运动过春天",54,51,15374,"减肥运动加控制饮食40天瘦了8斤，脂肪减掉6斤，肌肉掉了2斤，基础代谢掉了一百多卡。感觉饮食控制有些过狠，经常感觉很饥饿，这样健康吗？
还有怎样能减脂的同时保持基础代谢与肌肉量呢？

本题已加入知乎圆桌 » 减脂进行时 ，更多「减肥」讨论欢迎关注。",
空腹训练是更减脂还是对身体有害？,"健康, 健身, 减肥, 减脂, 健身与减脂",9,800,491049,"总是在视频上看到健身三个月或者半年的小伙子有了翻天覆地的变化，，感觉有点不可思议，同样是天天一小时，坚持了三个月，我为什么达不到理想的效果？每天锻炼完两个鸡蛋+两个蛋清，两勺增肌粉，你的历程是怎样的？
附图两张
现在的
三个月前
——————————————————————割——
5月28号补充
我的锻炼计划是
第一天:胸＋肱二头
第二天:背+肩
第三天:腿+腹
锻炼:
锻炼前会有5-10分钟的拉伸活动，除了腿，其它的肌肉一般是3-4个动作，每个动作五组，每组10-12下，力量适中，动作较慢，每次尽可能保证高质量的完成，锻炼腿每次三十分钟以上，三天一个循环，每周休息一天，（除了兼职那天，因为回来的时候都十点多了，学校健身房都关门了，顺便提下，学校健身房是免费的，兼职是为了买粉和水果之类的）因为看了赛普学院的视频，上过陈箭春老师的课。

饮食:
每天锻炼后一个鸡蛋+三个蛋清+2勺增肌粉+200ml牛奶，中午加个水果，三餐比以前有所减少，（人家说的少吃多餐）其它时间有时候加零食。我也想加到每天六餐，可是条件不允许，只有四餐凑合。每天11.30休息，7点起床。
我是觉得自己的肩膀宽了不少，肌肉有一些改观，但是体重就是上不去，基本上就是长了5斤，听说锻炼到了平台期很难长，过了之后白长的快，我是属于这种吗，还是饮食有问题？谢谢各位指点",
怎样减脂的同时保持基础代谢与肌肉量，如何减肥少掉／不掉肌肉？,"健身, 减肥, 增肌, 健身与减脂, 健身增肌",27,3636,799582,最近正在减肥健身，但是晚上不知道该吃些什么，每天晚上都吃一些水果，但是吃水果经常会饿...吃东西的话感觉又不太好，想问下晚上应该吃些什么可以充饥还不会发胖。,
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397105,肚子是比较容易堆积脂肪的部位，起初有点大不在意，现在比胸大-_-||但是没有赘肉，无下垂，也有做卷腹，每周评论2次，强度也够大，能酸上个3天，有氧自知做的少，但是不是增肌时期有氧不能多做嘛，更何况练了腿之后基本要酸上一个礼拜，无法跑步……有过来人给个方案吗，或是不管他让它大去，继续增肌到一定程度再减脂,
有哪些适合健身新手的健身计划？,"健身, 健身教练, 健身标准, 运动减肥, 健身与减脂",38,301,807133,这是体测单，能不能给点指导，本人19，女生,
杠铃卧推比哑铃卧推好在哪里？为什么大家都先推荐杠铃而非哑铃呢？,"健身, 身体健康, 健身器材, 健身增肌",1,77,120601,"之前因为到底跑不跑纠结了一阵 ，最后决定听大家的话开始慢跑，每周健身4-5次，跑步是每周3次差不多一个月了，6.0的速度快走2分钟8.0的速度慢跑4分，一共半小时，有时脚尖先落地有时用脚跟，然后拉伸20分钟，所有的我能看到的拉伸动作全部来一遍，拉到小腿松弛，然后锤腿，回家热水泡脚，在靠墙空腿半小时，因为真的真的害怕在变粗所以大家说的所有方法我都认认真真的做一遍，晚上吃的少 有时候回去吃个苹果橘子什么就睡觉了，平时也注意节食因为要减肥！ 我是我们一起去的三个小伙伴里 坚持去天数最多（一个月去了２０天）最努力拉伸的，结果我就呵呵了 我有种被坑了的感觉 一个多月我的小腿粗了一厘米 ！！！！！！！！！！！！！！！谁告诉我是怎么回事我怕是刚跑完的水肿什么的　就停了４天又量的　还是粗１ＣＭ！
我是还要在继续继续吗　？？会更严重吗？还是说会慢慢瘦下来？？？有没有跟我一样的　然后成功瘦腿的经历？？？？？？？？？？

其实是想问跑步我这种情况到底该不该跑步/快走减肥，超级害怕长肌肉，看了太多大神回答都说跑步不会长肌肉，肌肉不是那么容易就长得，好像在问什么“打了几天球会不会去锦标赛”之类的根本没必要担心！可是那是因为你们真的没有看过我的腿好吗！！我特别懒不爱动从小到大没怎么运动过可是小腿就是那么的发达！！怎么办？？我他么的长了个萝莉脸！！我真的不想在粗壮下去了！！！求助大神！我怎么减？我现在每天先3组坐姿划船+坐姿夹腿？？(反正就那东西)，然后一百左右仰卧起坐/卷腹，每周4-5天跳健身操！现在在考虑要不要跑步！我就是要减肥不要腿上大肌肉块！！求指点！！！感激不尽啊！！这是我现在腿的状态，稍微一用力就这样，基本捏不出肥肉，都硬邦邦。。。诶！",
女生开始健身和力量训练后，生活会发生哪些改变？,"健身, 减肥, 运动健身, 运动过春天",2,152,73549,"刚养成跑步习惯一个多月，最近出差，附近路况太差，到处是汽车，到处是坑洼，小路很多碎石头。跑了两天，隐隐膝盖疼，想先换个运动。
不会游泳，暂时还不想学。",
健身过后总是下背疼？,"健身, 健身教练, 运动减肥, 健身指导, 健身与减脂",3,86,49924,一说主要应该看全天消耗的总热量，包括基础代谢，各种身体，头脑活动，锻炼等等;还有一说是最好看你所做的锻炼（无论各种类型）脂肪供能所占百分比，因为一天总消耗也可能是糖类成为主要供能，轮不到脂肪消耗。我现在云里雾里了，到底该看哪一点呢？,
内脏脂肪超高严重，如何短期内减掉内脏脂肪并提高基础代谢率？,"健身, 减肥, 减脂, 运动减肥, 健身与减脂",378,8332,4397130,"总是在视频上看到健身三个月或者半年的小伙子有了翻天覆地的变化，，感觉有点不可思议，同样是天天一小时，坚持了三个月，我为什么达不到理想的效果？每天锻炼完两个鸡蛋+两个蛋清，两勺增肌粉，你的历程是怎样的？
附图两张
现在的
三个月前
——————————————————————割——
5月28号补充
我的锻炼计划是
第一天:胸＋肱二头
第二天:背+肩
第三天:腿+腹
锻炼:
锻炼前会有5-10分钟的拉伸活动，除了腿，其它的肌肉一般是3-4个动作，每个动作五组，每组10-12下，力量适中，动作较慢，每次尽可能保证高质量的完成，锻炼腿每次三十分钟以上，三天一个循环，每周休息一天，（除了兼职那天，因为回来的时候都十点多了，学校健身房都关门了，顺便提下，学校健身房是免费的，兼职是为了买粉和水果之类的）因为看了赛普学院的视频，上过陈箭春老师的课。

饮食:
每天锻炼后一个鸡蛋+三个蛋清+2勺增肌粉+200ml牛奶，中午加个水果，三餐比以前有所减少，（人家说的少吃多餐）其它时间有时候加零食。我也想加到每天六餐，可是条件不允许，只有四餐凑合。每天11.30休息，7点起床。
我是觉得自己的肩膀宽了不少，肌肉有一些改观，但是体重就是上不去，基本上就是长了5斤，听说锻炼到了平台期很难长，过了之后白长的快，我是属于这种吗，还是饮食有问题？谢谢各位指点",
减脂的关键到底在于哪一点？,"健身, 减肥, 减脂, 健身与减脂, 大学生形象",138,55594,10105530,"学校旁边的健身房不太专业，里面的教练好多也都是体院学生兼职的，所以求广大知友给推荐一个健身计划吧。
先说下我的情况，身高175，体重72KG，腹部以及臀部和大腿有很厚的脂肪堆积，上半身到还好，胸部无肉无脂肪。现在就是想一方面能把腿和腹部的脂肪减掉，另一方面也希望能练出来肌肉~~~毕竟夏天了么，男孩子也想露肉呀~~我的体能方面属于偏差的那种，跑步速度75的话能跑15-20分钟就喘的不行了。然后就是说每次健身练多久，练到什么程度可以就可以结束了？我两天去一次健身房，下午五点左右去，每次去练一个多小时，先骑十五分钟单车，其他的器材就是漫无目的的练了，所以很希望有一份具体的健身计划。",
有哪些令人后悔莫及的减脂误区？,"健身, 减脂, 运动减肥, 健身与减脂, 减肥经验",84,3867,2844062,我身高不高，162，腿比同身高的人要长一点，单位量体做西裤，每次裤长三尺一。所以腰特别短，肋骨下面不足一拳就是胯骨，无论多瘦都是邮筒………腿也奇怪，大腿长小腿短，跪着时脚后跟刚到股骨头那位置………像我这种情况，应该怎么训练呢,
健身练哪部分肌肉会让人变得挺拔？,"健身, 健身教练, 健身器材, 健身与减脂, 健身塑形",212,14059,2275443,一说主要应该看全天消耗的总热量，包括基础代谢，各种身体，头脑活动，锻炼等等;还有一说是最好看你所做的锻炼（无论各种类型）脂肪供能所占百分比，因为一天总消耗也可能是糖类成为主要供能，轮不到脂肪消耗。我现在云里雾里了，到底该看哪一点呢？,
本人男，体型不胖为什么下巴很多肉，有点双下巴。？,"健身, 减脂, 健身与减脂, 下巴",20,59,110761,"最近健身打算开始磕粉，发现蛋白粉（Whey protein）太难冲开，总是结块…凉水温水都试过，摇也摇了，到底怎么才能冲开？多谢！
@陈柏龄@健身帮",
女生开始健身和力量训练后，生活会发生哪些改变？,"健身, 减肥, 运动健身, 运动过春天",2,152,73551,"我很胖，一米七出头的身高，160斤，体质很弱，力气很小。
我现在一个引体向上也做不了，我需要怎么练习，才能每次可以做10个引体向上？",
为什么总觉得胖子瘦下来比原本瘦的人更加有气质？,"健身, 减肥, 形象, 优雅 气质, 健身与减脂",19,5662,1688433,"女 20周岁。身高178 体重210斤。一度胖到242，从小就胖且管不住嘴，买了个体脂称发现内脏脂肪太高了。现在脚崴骨裂了还没有好完全。并不能强度运动。崴脚前跑步加不吃晚饭减到203了。但是在家休养这半个多月又胖起来了。附图各指标。求大神支招

补充 遗传性肥胖",
